,id,squad,year,players,age,possesion,matches_played,starts,min_playing_time,minutes_played_90s,goals,assists,non_penalty_goals,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals_per_90,assists_per_90,goals_plus_assists_per_90,goals_minus_penalty_kicks_per_90,goals_plus_assists_minus_penalty_kicks_per_90,continent
127,128,Denmark,1991,15,23.8,,4,44,340,3.8,7,5,5,2,2,,,1.85,1.32,3.18,1.32,2.65,Europa
128,129,Germany,1991,18,23.8,,6,66,500,5.6,13,9,12,1,1,,,2.34,1.62,3.96,2.16,3.78,Europa
129,130,Italy,1991,17,24.2,,4,44,340,3.8,8,5,8,0,0,,,2.12,1.32,3.44,2.12,3.44,Europa
133,134,Norway,1991,15,24.1,,6,66,500,5.6,13,6,12,1,1,,,2.34,1.08,3.42,2.16,3.24,Europa
134,135,Sweden,1991,18,25.4,,6,66,480,5.3,17,11,16,1,1,,,3.19,2.06,5.25,3.0,5.06,Europa
2,3,Brazil,2019,18,29.7,51.5,4,44,390,4.3,7,3,5,2,3,7.0,0.0,1.62,0.69,2.31,1.15,1.85,Südamerika
5,6,Chile,2019,18,26.8,42.0,3,33,270,3.0,1,1,1,0,1,5.0,0.0,0.33,0.33,0.67,0.33,0.67,Südamerika
25,26,Brazil,2015,20,27.4,59.0,4,44,360,4.0,4,1,3,1,1,1.0,0.0,1.0,0.25,1.25,0.75,1.0,Südamerika
29,30,Colombia,2015,18,24.3,44.3,4,44,360,4.0,4,4,4,0,0,8.0,0.0,1.0,1.0,2.0,1.0,2.0,Südamerika
32,33,Ecuador,2015,19,23.4,38.7,3,33,270,3.0,1,0,0,1,1,6.0,1.0,0.33,0.0,0.33,0.0,0.0,Südamerika
49,50,Brazil,2011,16,27.0,53.3,4,44,390,4.3,9,6,7,2,2,0.0,0.0,2.08,1.38,3.46,1.62,3.0,Südamerika
51,52,Colombia,2011,17,22.4,49.3,3,33,270,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Südamerika
66,67,Brazil,2007,16,25.7,61.3,6,66,540,6.0,16,7,16,0,0,,,2.67,1.17,3.83,2.67,3.83,Südamerika
82,83,Brazil,2003,16,22.4,55.0,4,44,360,4.0,9,0,9,0,0,,,2.25,0.0,2.25,2.25,2.25,Südamerika
97,98,Brazil,1999,15,25.0,,6,66,554,6.2,16,10,16,0,0,,,2.6,1.62,4.22,2.6,4.22,Südamerika
113,114,Brazil,1995,16,27.9,,3,33,270,3.0,3,1,3,0,0,,,1.0,0.33,1.33,1.0,1.33,Südamerika
